Date,Open,High,Low,Close,Volume
2023-01-01,17500,17650,17400,17600,1200000
2023-01-02,17600,17700,17550,17650,1350000
2023-01-03,17650,17800,17600,17780,1420000
2023-01-04,17780,17850,17700,17820,1500000
2023-01-05,17820,17900,17750,17850,1600000
2023-01-06,17850,18000,17800,17980,1700000
2023-01-07,17980,18100,17900,18050,1800000
2023-01-08,18050,18200,18000,18120,1750000
2023-01-09,18120,18250,18050,18200,1650000
2023-01-10,18200,18300,18100,18280,1850000
2023-01-11,18280,18400,18200,18350,1900000
2023-01-12,18350,18500,18300,18480,2000000
2023-01-13,18480,18600,18400,18550,2100000
2023-01-14,18550,18700,18500,18680,2200000
2023-01-15,18680,18800,18600,18750,2300000
